hour,day,month,year,num_transactions,avg_gas_price,avg_gas
18,6,1,2017,1468,23687906815.207081,149743.71389645778
19,6,1,2017,1310,22906970498.243511,153669.561832061
20,6,1,2017,1206,23805732456.251286,164831.04311774476
21,6,1,2017,4092,22415320990.652916,109129.20576735077
22,6,1,2017,1154,23866143034.873482,219314.74263431554
23,6,1,2017,1852,25252615161.368782,132101.18088552903
0,7,1,2017,2207,23895026659.105621,110984.05935659271
1,7,1,2017,2579,22433613445.496365,127128.50058162074
2,7,1,2017,1397,22878001172.195404,140357.866857552
3,7,1,2017,2168,23984924463.358402,132040.83025830274
4,7,1,2017,1374,22605096752.831894,142341.14410480356
5,7,1,2017,3462,21650988239.009243,113609.27296360489
6,7,1,2017,1048,23647810222.495228,203957.30916030551
7,7,1,2017,1206,22723587209.185745,228286.07213930355
8,7,1,2017,1222,22668697798.396893,156300.55728314232
9,7,1,2017,1775,22280742535.219189,126789.50760563368
10,7,1,2017,1281,22026035019.449657,177413.79313036692
11,7,1,2017,2122,22711445413.595203,134585.84448633369
12,7,1,2017,4447,22303481819.011196,105205.93726107464
13,7,1,2017,1397,24540762000.89122,151201.77666428068
14,7,1,2017,1406,22662204610.934555,153532.5910384068
15,7,1,2017,2088,23359682197.86253,121479.27155172407
16,7,1,2017,1678,22041457532.806938,144324.97258641219
17,7,1,2017,1522,22607642886.400795,166096.44809461228
18,7,1,2017,1373,22370222925.380913,147996.22796795331
19,7,1,2017,1304,24230303741.1434,142924.92714723913
20,7,1,2017,1386,22876744083.704208,147618.82683982686
21,7,1,2017,2454,22346292133.51873,116651.52363488179
22,7,1,2017,1354,22823895791.407677,159478.07902511104
23,7,1,2017,1372,22639282662.95554,143575.40233236153
0,8,1,2017,3095,21790610008.844257,106797.91890145399
1,8,1,2017,2023,21592618398.029171,131462.65892239232
2,8,1,2017,1233,23473762588.872639,176354.56042173557
3,8,1,2017,2057,23419735564.724342,121970.10695187177
4,8,1,2017,1595,22920918724.976803,139666.0006269592
