hour,day,month,year,num_transactions,input_value,output_value
15,24,1,2014,9,22124725593,70924725593
16,24,1,2014,14,52618493710,89218493710
17,24,1,2014,28,88618484873,174018484873
18,24,1,2014,10,18649541826068,18673941826068
19,24,1,2014,28,85550877617,183150877617
20,24,1,2014,8,20901877774,69701877774
21,24,1,2014,14,50103124179,86703124179
22,24,1,2014,14,43679138996,92479138996
23,24,1,2014,16,71745655253,120545655253
0,25,1,2014,7,22446929705,46846929705
1,25,1,2014,9,33260479210,57660479210
2,25,1,2014,6,3998499340,28398499340
3,25,1,2014,14,62651104684,111451104684
4,25,1,2014,8,29237351761,65837351761
5,25,1,2014,20,264813547524,325813547524
6,25,1,2014,14,79176033376,127976033376
7,25,1,2014,6,25438512524,37638512524
8,25,1,2014,19,66253238625,127253238625
9,25,1,2014,20,74400242233,135400242233
10,25,1,2014,5,3719997356,52519997356
11,25,1,2014,15,55433413739,104233413739
12,25,1,2014,17,63589036246,112389036246
13,25,1,2014,13,48024596068,84624596068
15,25,1,2014,33,449815650381,486415650381
16,25,1,2014,10,37823007792,74423007792
17,25,1,2014,19,170440941776,194840941776
18,25,1,2014,3,1245754672,13445754672
19,25,1,2014,16,51016701449,112016701449
20,25,1,2014,24,95930083350,144730083350
21,25,1,2014,9,120431559405,157031559405
22,25,1,2014,13,35808371152,60208371152
23,25,1,2014,7,20366997488,32566997488
0,26,1,2014,8,166505333027,190905333027
2,26,1,2014,17,18570130648427,18606730648427
3,26,1,2014,4,12722653472,24922653472
4,26,1,2014,9,36344899844,60744899844
5,26,1,2014,8,48952171362,61152171362
6,26,1,2014,24,153735303375,202535303375
7,26,1,2014,4,20551327340,32751327340
8,26,1,2014,5,6317610164,18517610164
9,26,1,2014,10,76626143129,101026143129
10,26,1,2014,16,89025204873,125625204873
11,26,1,2014,20,108863491530,145463491530
13,26,1,2014,3,23446494254,35646494254
14,26,1,2014,19,97666196214,146466196214
15,26,1,2014,28,229099638146,290099638146
16,26,1,2014,13,82783277390,119383277390
17,26,1,2014,29,174121924961,235121924961
18,26,1,2014,29,223687583636,296887583636
19,26,1,2014,32,200394444371,285794444371
20,26,1,2014,14,105267979564,141867979564
21,26,1,2014,10,45248257860,69648257860
22,26,1,2014,19,98699226159,147499226159
23,26,1,2014,3,20011738094,32211738094
0,27,1,2014,10,81763124392,106163124392
1,27,1,2014,32,228604561253,368204561253
2,27,1,2014,50,415883288461,603083288461
3,27,1,2014,24,126578554468,241778554468
4,27,1,2014,39,291114024110,492714024110
5,27,1,2014,28,131772597188,318972597188
6,27,1,2014,29,173860041308,361060041308
7,27,1,2014,17,111677955950,226877955950
8,27,1,2014,19,205618479163,335218479163
9,27,1,2014,22,128690080700,272690080700
10,27,1,2014,27,186292020224,359092020224
11,27,1,2014,22,101174162307,245174162307
12,27,1,2014,34,194020342554,366820342554
13,27,1,2014,42,330859471887,518059471887
14,27,1,2014,50,302701612095,561901612095
15,27,1,2014,37,193327093338,380527093338
16,27,1,2014,46,247362996158,477762996158
17,27,1,2014,35,261020766537,491420766537
18,27,1,2014,70,407371398591,738571398591
19,27,1,2014,46,330856289066,532456289066
20,27,1,2014,70,539636609797,899636609797
21,27,1,2014,68,474604713901,719404713901
22,27,1,2014,55,371011619788,644611619788
23,27,1,2014,62,637367186805,910967186805
0,28,1,2014,51,336393139249,566793139249
1,28,1,2014,24,103998011083,219198011083
2,28,1,2014,46,284011619563,528811619563
3,28,1,2014,74,642001419033,1016401419033
4,28,1,2014,71,541811445944,815411445944
5,28,1,2014,63,416143880561,790543880561
6,28,1,2014,68,568033700805,870433700805
7,28,1,2014,73,649050379525,937050379525
8,28,1,2014,91,647061871579,1107861871579
9,28,1,2014,84,647671172599,1122871172599
10,28,1,2014,80,539042083630,913442083630
11,28,1,2014,79,602871157156,1129371157156
12,28,1,2014,106,865070673868,1379570673868
13,28,1,2014,117,914119781035,1546219781035
14,28,1,2014,103,879656511547,1482356511547
15,28,1,2014,105,876408839815,1449708839815
16,28,1,2014,128,1062051880226,1855851880226
17,28,1,2014,97,1649798081507,2237798081507
18,28,1,2014,87,762168878379,1276668878379
19,28,1,2014,95,732128686463,1305428686463
20,28,1,2014,107,912146428676,1500146428676
21,28,1,2014,94,1687123432959,2319223432959
22,28,1,2014,132,947915205750,1712315205750
23,28,1,2014,96,803250518065,1391250518065
0,29,1,2014,99,693035049425,1266335049425
1,29,1,2014,92,752372168494,1256472168494
2,29,1,2014,33,336169319981,493469319981
3,29,1,2014,38,261719878043,476219878043
4,29,1,2014,43,359037039391,587837039391
5,29,1,2014,29,241250842084,455750842084
6,29,1,2014,40,321291011510,550091011510
7,29,1,2014,45,324431858071,567531858071
