hour,day,month,year,num_transactions,avg_gas_price,avg_gas
20,28,4,2020,26865,8494101075.2584085,209800.38834915453
21,28,4,2020,26850,8706438563.3047638,245396.57519553165
22,28,4,2020,25737,9401053981.1356716,213698.49772700807
23,28,4,2020,25646,11380290608.25914,256196.90368868544
0,29,4,2020,28878,9662162362.4106541,229704.30085185802
1,29,4,2020,33620,10659338216.8724,179331.75755502886
2,29,4,2020,35197,14089047807.412018,188873.39580077556
3,29,4,2020,39789,13427323571.069715,169199.99100253702
4,29,4,2020,36836,12964833599.149239,170378.63932023029
5,29,4,2020,38188,13893615832.27854,184483.27388184812
6,29,4,2020,38028,20668499547.720745,230075.84482486566
7,29,4,2020,43680,19619105580.835144,161776.29757326009
8,29,4,2020,47315,17588186121.949318,166662.99074289424
9,29,4,2020,44713,16366341472.969217,194771.96683291267
10,29,4,2020,40426,20965443069.051277,190159.69757086795
11,29,4,2020,43014,22251618494.861332,185172.58925001218
12,29,4,2020,42684,20156687756.187752,156960.87475400511
13,29,4,2020,45082,21262647869.771767,181041.26717980517
14,29,4,2020,40313,24540558874.297558,165507.45536179602
15,29,4,2020,39853,28949570130.065506,160937.03272024757
16,29,4,2020,35081,25515555809.653965,221053.36412873236
17,29,4,2020,41132,28782498777.377621,200257.57244967279
18,29,4,2020,34042,23845483464.761963,204567.8509194548
19,29,4,2020,30218,17793998284.389839,229681.6559335528
20,29,4,2020,34178,13491214393.272619,269785.4091520831
21,29,4,2020,29255,12208782696.450382,215446.06723637102
22,29,4,2020,28104,12143797214.002428,212455.79027896354
23,29,4,2020,28255,11375401256.498413,206114.44303663142
0,30,4,2020,33331,12386219497.935081,206440.55875911325
1,30,4,2020,35019,14898807060.251253,182241.57908563857
2,30,4,2020,42021,16623575815.039352,181019.7461507353
3,30,4,2020,34488,22114544874.090797,205685.463146602
4,30,4,2020,38852,30289480663.7389,218269.25697518635
5,30,4,2020,40431,29964442763.652367,213534.23897504259
6,30,4,2020,45622,27897012224.672245,171433.85802902185
7,30,4,2020,45539,26957527781.7125,173243.97540569693
8,30,4,2020,48346,26149353367.345638,170725.42824639106
9,30,4,2020,41103,31373403038.522858,175045.48950198432
10,30,4,2020,37928,40709028912.5953,182759.99045559866
11,30,4,2020,42169,33458175491.153854,172901.78085797679
12,30,4,2020,37137,33684512539.615204,167767.87546112871
13,30,4,2020,45652,28381872063.03091,168617.93067116413
14,30,4,2020,42967,22673725888.686363,177346.19910629294
15,30,4,2020,40884,22202373879.799419,180633.96614812504
16,30,4,2020,36592,22495383272.146687,177411.36005137657
17,30,4,2020,33344,22415565614.254539,212244.26448536309
18,30,4,2020,29861,19814320400.979683,200062.81584675596
19,30,4,2020,32302,20380950659.05122,205672.7656182271
20,30,4,2020,29773,13471433690.460728,211215.39811238102
21,30,4,2020,27041,11355305341.258404,208556.69945638228
22,30,4,2020,28935,11721126645.499985,225367.75438051028
23,30,4,2020,30122,10721191119.332705,219134.7497510126
0,1,5,2020,29627,14787277871.602562,221338.87632902342
1,1,5,2020,35412,14269276745.75601,177470.44479272491
2,1,5,2020,39177,14403916426.831394,180610.95824080452
3,1,5,2020,36464,14000457079.49832,193546.33106625633
4,1,5,2020,34935,15462190058.437634,204192.29672248341
5,1,5,2020,34103,15143768356.3915,187756.56953933663
6,1,5,2020,36643,15038179446.380182,183492.17051005704
7,1,5,2020,37274,15856075412.340097,195473.39687181468
8,1,5,2020,41816,14726877819.284859,159850.49983259846
9,1,5,2020,38752,14475810353.62977,171921.41664946396
10,1,5,2020,38163,14619132322.302525,181341.57029059544
11,1,5,2020,38917,16819643606.936104,181263.80021584357
12,1,5,2020,36904,17028758816.564869,174297.17391068547
13,1,5,2020,37214,16488693177.708368,206051.67786316908
14,1,5,2020,37092,18551985412.338276,184698.21484417256
15,1,5,2020,35205,15611060146.659704,203937.70512711152
16,1,5,2020,33023,15940347822.406414,230955.22820458474
17,1,5,2020,32284,11512689257.094452,268536.28493990895
