hour,day,month,year,num_transactions,input_value,output_value
20,5,1,2013,2109,3684414867265,3696914867265
21,5,1,2013,1606,4359392712782,4379392712782
22,5,1,2013,1230,4571655402246,4594155352246
23,5,1,2013,1061,3132432520374,3142432520374
0,6,1,2013,2268,3582293492908,3594793492908
1,6,1,2013,1385,10086946392454,10099446392454
2,6,1,2013,1226,5040239192042,5062739192042
3,6,1,2013,2093,4594761607634,4612261607634
4,6,1,2013,1453,5023741089302,5036241089302
5,6,1,2013,739,2825324092568,2832824092568
6,6,1,2013,1120,5047704110342,5052704110342
7,6,1,2013,1170,4331997630868,4344497630868
8,6,1,2013,1827,4071634311949,4099134311949
9,6,1,2013,1574,2784454480252,2804454480252
10,6,1,2013,1526,3810807168372,3820807168372
11,6,1,2013,1359,2650585694724,2675585694724
12,6,1,2013,153,855832959383,860832959383
13,6,1,2013,1646,4790772448106,4810772398106
14,6,1,2013,647,2247936295874,2260436295874
15,6,1,2013,1501,8190986607675,8203486607675
16,6,1,2013,1514,4001820590401,4016820590401
17,6,1,2013,878,6731790096610,6744290096610
18,6,1,2013,1679,7774159740446,7789159740446
19,6,1,2013,1194,3176709660512,3196709660512
20,6,1,2013,1464,5813369953194,5823369953194
21,6,1,2013,1971,5172181861686,5202181861686
22,6,1,2013,1503,3082433660402,3099933660402
23,6,1,2013,1136,4072260876223,4079760876223
0,7,1,2013,2910,6916887386541,6934387336541
1,7,1,2013,1876,7910511171973,7923011171973
2,7,1,2013,1945,9555928784638,9565928784638
3,7,1,2013,1585,5437071135577,5452071035577
4,7,1,2013,1425,5399318988553,5421818988553
5,7,1,2013,1477,5230976279278,5245976279278
6,7,1,2013,1170,4679194875454,4691694875454
7,7,1,2013,1088,4448118471839,4458118471839
8,7,1,2013,1083,4035003753381,4055003753381
9,7,1,2013,1221,3797945242048,3807945242048
10,7,1,2013,2609,7164491781425,7176991781425
11,7,1,2013,917,3389919136876,3404919136876
12,7,1,2013,1840,4971436489024,4993936489024
13,7,1,2013,2178,5429415290979,5456915290979
14,7,1,2013,2031,6131085023783,6153585023783
15,7,1,2013,1826,4996401616966,5018901616966
16,7,1,2013,1965,4823650324382,4841150324382
17,7,1,2013,2043,4769560407705,4794560407705
18,7,1,2013,1521,4737439235355,4762439235355
19,7,1,2013,816,7399929914383,7407429914383
20,7,1,2013,1575,12151552352695,12161552352695
21,7,1,2013,1819,8281793891564,8311793891564
22,7,1,2013,946,6659224456180,6674224456180
23,7,1,2013,2422,10526938001271,10549438001271
0,8,1,2013,1501,12094243402914,12101743402914
1,8,1,2013,2120,16824636139027,16839636139027
2,8,1,2013,311,2957513656993,2962513656993
3,8,1,2013,3173,21796269514351,21816269464351
4,8,1,2013,1652,9335255044741,9360255044741
5,8,1,2013,2113,8469291504840,8489291504840
6,8,1,2013,847,6167275056865,6174775056865
7,8,1,2013,1564,10916099500630,10931099500630
8,8,1,2013,1271,9310376502367,9337876452367
9,8,1,2013,1257,3817751700066,3827751700066
10,8,1,2013,1397,9668109675964,9685609675964
